================================================================
BIO-REACTOR LSTM MODEL PERFORMANCE REPORT
================================================================

STATE VARIABLE       | MSE (Mean Sq. Error) | MAE (Mean Abs. Error) | R2 Score  
0.8563     | 9.071254        | 9.072010        | 0.000756       
0.8643     | 9.071200        | 9.071986        | 0.000786       
0.8723     | 9.071144        | 9.071958        | 0.000813       
0.8804     | 9.071088        | 9.071925        | 0.000837       
0.8884     | 9.071030        | 9.071887        | 0.000857       
0.8964     | 9.070972        | 9.071844        | 0.000872       
0.9044     | 9.070913        | 9.071796        | 0.000884       
0.9124     | 9.070852        | 9.071744        | 0.000892       
0.9204     | 9.070791        | 9.071686        | 0.000895       
0.9284     | 9.070729        | 9.071623        | 0.000894       
0.9364     | 9.070666        | 9.071555        | 0.000889       
0.9444     | 9.070601        | 9.071483        | 0.000881       
0.9524     | 9.070536        | 9.071405        | 0.000869       
0.9604     | 9.070470        | 9.071323        | 0.000854       
0.9684     | 9.070402        | 9.071237        | 0.000834       
0.9764     | 9.070334        | 9.071144        | 0.000810       
0.9844     | 9.070264        | 9.071048        | 0.000784       
0.9924     | 9.070193        | 9.070947        | 0.000754       
1.0004     | 9.070121        | 9.070842        | 0.000721       
1.0084     | 9.070047        | 9.070732        | 0.000685       
1.0164     | 9.069973        | 9.070619        | 0.000646       
1.0244     | 9.069897        | 9.070500        | 0.000604       
1.0324     | 9.069820        | 9.070379        | 0.000559       
1.0404     | 9.069741        | 9.070253        | 0.000512       
1.0484     | 9.069662        | 9.070124        | 0.000462       
1.0564     | 9.069581        | 9.069991        | 0.000410       
1.0644     | 9.069499        | 9.069857        | 0.000358       
1.0724     | 9.069415        | 9.069717        | 0.000302       
1.0804     | 9.069330        | 9.069576        | 0.000246       
1.0884     | 9.069244        | 9.069432        | 0.000188       
1.0964     | 9.069156        | 9.069286        | 0.000130       
1.1044     | 9.069067        | 9.069139        | 0.000072       
1.1124     | 9.068976        | 9.068987        | 0.000010       
1.1204     | 9.068884        | 9.068835        | 0.000049       
1.1285     | 9.068791        | 9.068682        | 0.000109       
1.1365     | 9.068696        | 9.068526        | 0.000169       
1.1445     | 9.068599        | 9.068371        | 0.000228       
1.1525     | 9.068501        | 9.068213        | 0.000287       
1.1605     | 9.068401        | 9.068056        | 0.000345       
1.1685     | 9.068300        | 9.067899        | 0.000401       
1.1765     | 9.068197        | 9.067739        | 0.000457       
1.1845     | 9.068092        | 9.067580        | 0.000512       
1.1925     | 9.067985        | 9.067422        | 0.000563       
1.2005     | 9.067877        | 9.067264        | 0.000613       
1.2085     | 9.067766        | 9.067104        | 0.000662       
1.2165     | 9.067654        | 9.066946        | 0.000708       
1.2245     | 9.067540        | 9.066788        | 0.000752       
1.2325     | 9.067424        | 9.066629        | 0.000794       
1.2405     | 9.067306        | 9.066472        | 0.000834       
1.2485     | 9.067186        | 9.066315        | 0.000871       
1.2565     | 9.067064        | 9.066159        | 0.000905       
1.2645     | 9.066940        | 9.066004        | 0.000936       
1.2725     | 9.066814        | 9.065849        | 0.000965       
1.2805     | 9.066686        | 9.065697        | 0.000989       
1.2885     | 9.066556        | 9.065546        | 0.001010       
1.2965     | 9.066424        | 9.065395        | 0.001028       
1.3045     | 9.066289        | 9.065248        | 0.001042       
1.3125     | 9.066152        | 9.065099        | 0.001054       
1.3205     | 9.066014        | 9.064953        | 0.001061       
1.3285     | 9.065872        | 9.064808        | 0.001065       
1.3365     | 9.065729        | 9.064665        | 0.001064       
1.3445     | 9.065583        | 9.064523        | 0.001060       
1.3525     | 9.065435        | 9.064382        | 0.001054       
1.3605     | 9.065285        | 9.064242        | 0.001042       
1.3685     | 9.065132        | 9.064104        | 0.001028       
1.3766     | 9.064976        | 9.063967        | 0.001009       
1.3846     | 9.064818        | 9.063830        | 0.000988       
1.3926     | 9.064658        | 9.063695        | 0.000963       
1.4006     | 9.064495        | 9.063560        | 0.000934       
1.4086     | 9.064329        | 9.063426        | 0.000903       
1.4166     | 9.064160        | 9.063293        | 0.000867       
1.4246     | 9.063988        | 9.063159        | 0.000829       
1.4326     | 9.063813        | 9.063024        | 0.000789       
1.4406     | 9.063635        | 9.062890        | 0.000745       
1.4486     | 9.063454        | 9.062755        | 0.000699       
1.4566     | 9.063270        | 9.062618        | 0.000652       
1.4646     | 9.063083        | 9.062482        | 0.000601       
1.4726     | 9.062893        | 9.062345        | 0.000549       
1.4806     | 9.062700        | 9.062205        | 0.000495       
1.4886     | 9.062504        | 9.062066        | 0.000438       
1.4966     | 9.062305        | 9.061924        | 0.000381       
1.5046     | 9.062102        | 9.061780        | 0.000322       
1.5126     | 9.061896        | 9.061635        | 0.000261       
1.5206     | 9.061686        | 9.061487        | 0.000199       
1.5286     | 9.061473        | 9.061337        | 0.000137       
1.5366     | 9.061257        | 9.061183        | 0.000074       
1.5446     | 9.061037        | 9.061027        | 0.000010       
1.5526     | 9.060814        | 9.060866        | 0.000053       
1.5606     | 9.060586        | 9.060703        | 0.000117       
1.5686     | 9.060356        | 9.060535        | 0.000180       
1.5766     | 9.060121        | 9.060365        | 0.000244       
1.5846     | 9.059883        | 9.060189        | 0.000307       
1.5926     | 9.059640        | 9.060008        | 0.000368       
1.6006     | 9.059394        | 9.059821        | 0.000427       
1.6086     | 9.059144        | 9.059630        | 0.000486       
1.6166     | 9.058890        | 9.059434        | 0.000544       
1.6246     | 9.058632        | 9.059232        | 0.000600       
1.6327     | 9.058369        | 9.059023        | 0.000654       
1.6407     | 9.058101        | 9.058808        | 0.000707       
1.6487     | 9.057829        | 9.058588        | 0.000759       
1.6567     | 9.057552        | 9.058361        | 0.000809       
1.6647     | 9.057270        | 9.058126        | 0.000856       
1.6727     | 9.056984        | 9.057885        | 0.000901       
1.6807     | 9.056693        | 9.057636        | 0.000943       
1.6887     | 9.056398        | 9.057380        | 0.000982       
1.6967     | 9.056097        | 9.057116        | 0.001018       
1.7047     | 9.055792        | 9.056842        | 0.001050       
1.7127     | 9.055482        | 9.056561        | 0.001080       
1.7207     | 9.055166        | 9.056273        | 0.001106       
1.7287     | 9.054846        | 9.055974        | 0.001128       
1.7367     | 9.054520        | 9.055668        | 0.001148       
1.7447     | 9.054189        | 9.055352        | 0.001163       
1.7527     | 9.053852        | 9.055027        | 0.001175       
1.7607     | 9.053510        | 9.054693        | 0.001183       
1.7687     | 9.053163        | 9.054350        | 0.001187       
1.7767     | 9.052810        | 9.053998        | 0.001188       
1.7847     | 9.052451        | 9.053636        | 0.001185       
1.7927     | 9.052087        | 9.053265        | 0.001178       
1.8007     | 9.051716        | 9.052884        | 0.001168       
1.8087     | 9.051340        | 9.052493        | 0.001153       
1.8167     | 9.050957        | 9.052094        | 0.001136       
1.8247     | 9.050569        | 9.051682        | 0.001114       
1.8327     | 9.050174        | 9.051263        | 0.001089       
1.8407     | 9.049773        | 9.050834        | 0.001061       
1.8487     | 9.049365        | 9.050395        | 0.001030       
1.8567     | 9.048950        | 9.049946        | 0.000996       
1.8647     | 9.048527        | 9.049487        | 0.000960       
1.8727     | 9.048098        | 9.049020        | 0.000922       
1.8808     | 9.047661        | 9.048542        | 0.000881       
1.8888     | 9.047218        | 9.048055        | 0.000837       
1.8968     | 9.046767        | 9.047559        | 0.000792       
1.9048     | 9.046309        | 9.047053        | 0.000744       
1.9128     | 9.045844        | 9.046537        | 0.000694       
1.9208     | 9.045371        | 9.046013        | 0.000642       
1.9288     | 9.044890        | 9.045479        | 0.000589       
1.9368     | 9.044402        | 9.044936        | 0.000535       
1.9448     | 9.043905        | 9.044384        | 0.000479       
1.9528     | 9.043401        | 9.043823        | 0.000422       
1.9608     | 9.042889        | 9.043252        | 0.000363       
1.9688     | 9.042368        | 9.042673        | 0.000305       
1.9768     | 9.041839        | 9.042085        | 0.000245       
1.9848     | 9.041302        | 9.041487        | 0.000185       
1.9928     | 9.040756        | 9.040881        | 0.000125       

--- STATE: nCO2_g ---
Time (h)   | True            | Pred            | Diff           
------------------------------------------------------------
0.4002     | 2.463728        | 2.464544        | 0.000815       
0.4082     | 2.463720        | 2.464300        | 0.000580       
0.4162     | 2.463712        | 2.464065        | 0.000354       
0.4242     | 2.463703        | 2.463852        | 0.000148       
0.4322     | 2.463695        | 2.463665        | 0.000029       
0.4402     | 2.463686        | 2.463509        | 0.000177       
0.4482     | 2.463677        | 2.463382        | 0.000295       
0.4562     | 2.463668        | 2.463284        | 0.000384       
0.4642     | 2.463659        | 2.463212        | 0.000447       
0.4722     | 2.463650        | 2.463165        | 0.000485       
0.4802     | 2.463641        | 2.463138        | 0.000503       
0.4882     | 2.463631        | 2.463129        | 0.000502       
0.4962     | 2.463621        | 2.463135        | 0.000487       
0.5042     | 2.463611        | 2.463152        | 0.000460       
0.5122     | 2.463601        | 2.463178        | 0.000423       
0.5202     | 2.463591        | 2.463212        | 0.000379       
0.5282     | 2.463581        | 2.463250        | 0.000331       
0.5362     | 2.463570        | 2.463291        | 0.000279       
0.5442     | 2.463560        | 2.463335        | 0.000225       
0.5522     | 2.463549        | 2.463378        | 0.000171       
0.5602     | 2.463538        | 2.463421        | 0.000117       
0.5682     | 2.463527        | 2.463462        | 0.000064       
0.5762     | 2.463515        | 2.463502        | 0.000013       
0.5842     | 2.463504        | 2.463539        | 0.000035       
0.5922     | 2.463492        | 2.463573        | 0.000080       
0.6002     | 2.463480        | 2.463603        | 0.000123       
0.6082     | 2.463468        | 2.463630        | 0.000162       
0.6162     | 2.463456        | 2.463653        | 0.000197       
0.6242     | 2.463443        | 2.463673        | 0.000229       
0.6323     | 2.463431        | 2.463688        | 0.000258       
0.6403     | 2.463418        | 2.463700        | 0.000282       
0.6483     | 2.463404        | 2.463708        | 0.000303       
0.6563     | 2.463391        | 2.463712        | 0.000321       
0.6643     | 2.463378        | 2.463712        | 0.000335       
0.6723     | 2.463364        | 2.463709        | 0.000345       
0.6803     | 2.463350        | 2.463702        | 0.000353       
0.6883     | 2.463336        | 2.463692        | 0.000357       
0.6963     | 2.463321        | 2.463679        | 0.000358       
0.7043     | 2.463307        | 2.463662        | 0.000356       
0.7123     | 2.463292        | 2.463643        | 0.000351       
0.7203     | 2.463277        | 2.463621        | 0.000344       
0.7283     | 2.463261        | 2.463595        | 0.000334       
0.7363     | 2.463245        | 2.463568        | 0.000323       
0.7443     | 2.463229        | 2.463538        | 0.000309       
0.7523     | 2.463213        | 2.463506        | 0.000293       
0.7603     | 2.463197        | 2.463472        | 0.000276       
0.7683     | 2.463180        | 2.463437        | 0.000256       
0.7763     | 2.463163        | 2.463399        | 0.000236       
0.7843     | 2.463146        | 2.463360        | 0.000214       
0.7923     | 2.463128        | 2.463320        | 0.000191       
0.8003     | 2.463111        | 2.463278        | 0.000168       
0.8083     | 2.463092        | 2.463235        | 0.000143       
0.8163     | 2.463074        | 2.463192        | 0.000118       
0.8243     | 2.463055        | 2.463148        | 0.000092       
0.8323     | 2.463036        | 2.463103        | 0.000066       
0.8403     | 2.463017        | 2.463058        | 0.000041       
0.8483     | 2.462998        | 2.463012        | 0.000014       
0.8563     | 2.462978        | 2.462966        | 0.000011       
0.8643     | 2.462957        | 2.462920        | 0.000037       
0.8723     | 2.462937        | 2.462875        | 0.000062       
0.8804     | 2.462916        | 2.462829        | 0.000087       
0.8884     | 2.462895        | 2.462784        | 0.000111       
0.8964     | 2.462873        | 2.462738        | 0.000135       
0.9044     | 2.462851        | 2.462694        | 0.000157       
0.9124     | 2.462829        | 2.462650        | 0.000179       
0.9204     | 2.462806        | 2.462606        | 0.000200       
0.9284     | 2.462783        | 2.462563        | 0.000220       
0.9364     | 2.462759        | 2.462521        | 0.000238       
0.9444     | 2.462736        | 2.462480        | 0.000256       
0.9524     | 2.462711        | 2.462439        | 0.000272       
0.9604     | 2.462687        | 2.462400        | 0.000287       
0.9684     | 2.462662        | 2.462361        | 0.000301       
0.9764     | 2.462636        | 2.462323        | 0.000313       
0.9844     | 2.462610        | 2.462286        | 0.000325       
0.9924     | 2.462584        | 2.462250        | 0.000334       
1.0004     | 2.462557        | 2.462215        | 0.000342       
1.0084     | 2.462530        | 2.462181        | 0.000349       
1.0164     | 2.462502        | 2.462148        | 0.000354       
1.0244     | 2.462474        | 2.462116        | 0.000358       
1.0324     | 2.462446        | 2.462085        | 0.000360       
1.0404     | 2.462417        | 2.462055        | 0.000361       
1.0484     | 2.462387        | 2.462026        | 0.000361       
1.0564     | 2.462357        | 2.461998        | 0.000359       
1.0644     | 2.462327        | 2.461971        | 0.000356       
1.0724     | 2.462296        | 2.461944        | 0.000351       
1.0804     | 2.462264        | 2.461919        | 0.000345       
1.0884     | 2.462232        | 2.461894        | 0.000338       
1.0964     | 2.462200        | 2.461869        | 0.000330       
1.1044     | 2.462167        | 2.461846        | 0.000321       
1.1124     | 2.462133        | 2.461822        | 0.000311       
1.1204     | 2.462099        | 2.461799        | 0.000299       
1.1285     | 2.462064        | 2.461777        | 0.000287       
1.1365     | 2.462029        | 2.461755        | 0.000274       
1.1445     | 2.461993        | 2.461733        | 0.000260       
1.1525     | 2.461957        | 2.461711        | 0.000246       
1.1605     | 2.461920        | 2.461689        | 0.000231       
1.1685     | 2.461882        | 2.461667        | 0.000215       
1.1765     | 2.461844        | 2.461645        | 0.000199       
1.1845     | 2.461805        | 2.461623        | 0.000182       
1.1925     | 2.461766        | 2.461601        | 0.000165       
1.2005     | 2.461725        | 2.461578        | 0.000147       
1.2085     | 2.461684        | 2.461555        | 0.000129       
1.2165     | 2.461643        | 2.461531        | 0.000111       
1.2245     | 2.461600        | 2.461507        | 0.000093       
1.2325     | 2.461557        | 2.461482        | 0.000075       
1.2405     | 2.461514        | 2.461457        | 0.000057       
1.2485     | 2.461469        | 2.461430        | 0.000039       
1.2565     | 2.461424        | 2.461403        | 0.000021       
1.2645     | 2.461378        | 2.461374        | 0.000004       
1.2725     | 2.461331        | 2.461344        | 0.000013       
1.2805     | 2.461284        | 2.461314        | 0.000030       
1.2885     | 2.461236        | 2.461282        | 0.000046       
1.2965     | 2.461187        | 2.461249        | 0.000062       
1.3045     | 2.461137        | 2.461214        | 0.000078       
1.3125     | 2.461086        | 2.461179        | 0.000092       
1.3205     | 2.461035        | 2.461141        | 0.000106       
1.3285     | 2.460982        | 2.461102        | 0.000120       
1.3365     | 2.460929        | 2.461062        | 0.000133       
1.3445     | 2.460875        | 2.461020        | 0.000145       
1.3525     | 2.460820        | 2.460977        | 0.000157       
1.3605     | 2.460764        | 2.460932        | 0.000167       
1.3685     | 2.460708        | 2.460885        | 0.000177       
1.3766     | 2.460650        | 2.460836        | 0.000186       
1.3846     | 2.460592        | 2.460786        | 0.000194       
1.3926     | 2.460532        | 2.460734        | 0.000202       
1.4006     | 2.460472        | 2.460680        | 0.000208       
1.4086     | 2.460410        | 2.460624        | 0.000214       
1.4166     | 2.460347        | 2.460567        | 0.000219       
1.4246     | 2.460284        | 2.460507        | 0.000224       
1.4326     | 2.460219        | 2.460446        | 0.000227       
1.4406     | 2.460153        | 2.460383        | 0.000230       
1.4486     | 2.460086        | 2.460317        | 0.000231       
1.4566     | 2.460018        | 2.460250        | 0.000233       
1.4646     | 2.459949        | 2.460181        | 0.000233       
1.4726     | 2.459878        | 2.460110        | 0.000232       
1.4806     | 2.459807        | 2.460037        | 0.000230       
1.4886     | 2.459734        | 2.459962        | 0.000228       
1.4966     | 2.459660        | 2.459885        | 0.000225       
1.5046     | 2.459585        | 2.459806        | 0.000221       
1.5126     | 2.459508        | 2.459725        | 0.000217       
1.5206     | 2.459431        | 2.459642        | 0.000212       
1.5286     | 2.459352        | 2.459558        | 0.000206       
1.5366     | 2.459272        | 2.459471        | 0.000199       
1.5446     | 2.459190        | 2.459383        | 0.000193       
1.5526     | 2.459107        | 2.459292        | 0.000185       
1.5606     | 2.459023        | 2.459200        | 0.000177       
1.5686     | 2.458938        | 2.459106        | 0.000169       
1.5766     | 2.458851        | 2.459010        | 0.000159       
1.5846     | 2.458762        | 2.458913        | 0.000150       
1.5926     | 2.458673        | 2.458813        | 0.000141       
1.6006     | 2.458581        | 2.458712        | 0.000131       
1.6086     | 2.458489        | 2.458609        | 0.000121       
1.6166     | 2.458395        | 2.458504        | 0.000110       
1.6246     | 2.458299        | 2.458398        | 0.000099       
1.6327     | 2.458202        | 2.458290        | 0.000089       
1.6407     | 2.458102        | 2.458180        | 0.000078       
1.6487     | 2.458001        | 2.458068        | 0.000067       
1.6567     | 2.457899        | 2.457955        | 0.000057       
1.6647     | 2.457794        | 2.457840        | 0.000046       
1.6727     | 2.457688        | 2.457724        | 0.000036       
1.6807     | 2.457581        | 2.457606        | 0.000025       
1.6887     | 2.457471        | 2.457486        | 0.000015       
1.6967     | 2.457360        | 2.457365        | 0.000005       
1.7047     | 2.457247        | 2.457242        | 0.000005       
1.7127     | 2.457132        | 2.457118        | 0.000014       
1.7207     | 2.457015        | 2.456992        | 0.000023       
1.7287     | 2.456896        | 2.456865        | 0.000031       
1.7367     | 2.456776        | 2.456736        | 0.000040       
1.7447     | 2.456653        | 2.456605        | 0.000048       
1.7527     | 2.456528        | 2.456473        | 0.000055       
1.7607     | 2.456402        | 2.456339        | 0.000063       
1.7687     | 2.456273        | 2.456203        | 0.000070       
1.7767     | 2.456142        | 2.456066        | 0.000076       
1.7847     | 2.456009        | 2.455927        | 0.000082       
1.7927     | 2.455874        | 2.455786        | 0.000088       
1.8007     | 2.455737        | 2.455643        | 0.000093       
1.8087     | 2.455597        | 2.455499        | 0.000098       
1.8167     | 2.455456        | 2.455353        | 0.000103       
1.8247     | 2.455312        | 2.455205        | 0.000107       
1.8327     | 2.455166        | 2.455055        | 0.000111       
1.8407     | 2.455017        | 2.454903        | 0.000114       
1.8487     | 2.454866        | 2.454749        | 0.000117       
1.8567     | 2.454712        | 2.454593        | 0.000120       
1.8647     | 2.454556        | 2.454435        | 0.000121       
1.8727     | 2.454397        | 2.454274        | 0.000123       
1.8808     | 2.454235        | 2.454112        | 0.000123       
1.8888     | 2.454071        | 2.453947        | 0.000124       
1.8968     | 2.453904        | 2.453780        | 0.000124       
1.9048     | 2.453734        | 2.453611        | 0.000123       
1.9128     | 2.453562        | 2.453439        | 0.000123       
1.9208     | 2.453387        | 2.453265        | 0.000122       
1.9288     | 2.453209        | 2.453088        | 0.000121       
1.9368     | 2.453028        | 2.452909        | 0.000119       
1.9448     | 2.452844        | 2.452727        | 0.000118       
1.9528     | 2.452657        | 2.452542        | 0.000115       
1.9608     | 2.452468        | 2.452354        | 0.000113       
1.9688     | 2.452275        | 2.452164        | 0.000111       
1.9768     | 2.452079        | 2.451971        | 0.000109       
1.9848     | 2.451880        | 2.451774        | 0.000106       
1.9928     | 2.451678        | 2.451575        | 0.000104       

--- STATE: nCH4_g ---
Time (h)   | True            | Pred            | Diff           
------------------------------------------------------------
0.4002     | 0.000022        | 0.000078        | 0.000056       
0.4082     | 0.000023        | 0.000061        | 0.000038       
0.4162     | 0.000023        | 0.000045        | 0.000022       
0.4242     | 0.000024        | 0.000033        | 0.000009       
0.4322     | 0.000025        | 0.000023        | 0.000002       
0.4402     | 0.000025        | 0.000016        | 0.000010       
0.4482     | 0.000026        | 0.000010        | 0.000016       
0.4562     | 0.000027        | 0.000007        | 0.000020       
0.4642     | 0.000027        | 0.000005        | 0.000023       
0.4722     | 0.000028        | 0.000004        | 0.000024       
0.4802     | 0.000029        | 0.000004        | 0.000025       
0.4882     | 0.000030        | 0.000004        | 0.000026       
0.4962     | 0.000030        | 0.000005        | 0.000025       
0.5042     | 0.000031        | 0.000007        | 0.000025       
0.5122     | 0.000032        | 0.000008        | 0.000024       
0.5202     | 0.000033        | 0.000011        | 0.000022       
0.5282     | 0.000034        | 0.000013        | 0.000020       
0.5362     | 0.000034        | 0.000016        | 0.000019       
0.5442     | 0.000035        | 0.000019        | 0.000016       
0.5522     | 0.000036        | 0.000022        | 0.000014       
0.5602     | 0.000037        | 0.000025        | 0.000012       
0.5682     | 0.000038        | 0.000029        | 0.000009       
0.5762     | 0.000039        | 0.000032        | 0.000006       
0.5842     | 0.000040        | 0.000036        | 0.000004       
0.5922     | 0.000041        | 0.000039        | 0.000001       
0.6002     | 0.000041        | 0.000043        | 0.000001       
0.6082     | 0.000042        | 0.000046        | 0.000004       
0.6162     | 0.000043        | 0.000050        | 0.000006       
0.6242     | 0.000044        | 0.000053        | 0.000009       
0.6323     | 0.000045        | 0.000056        | 0.000011       
0.6403     | 0.000046        | 0.000059        | 0.000013       
0.6483     | 0.000047        | 0.000062        | 0.000015       
0.6563     | 0.000048        | 0.000064        | 0.000016       
0.6643     | 0.000049        | 0.000067        | 0.000017       
0.6723     | 0.000050        | 0.000069        | 0.000019       
0.6803     | 0.000052        | 0.000071        | 0.000019       
0.6883     | 0.000053        | 0.000073        | 0.000020       
0.6963     | 0.000054        | 0.000074        | 0.000021       
0.7043     | 0.000055        | 0.000076        | 0.000021       
0.7123     | 0.000056        | 0.000077        | 0.000021       
0.7203     | 0.000057        | 0.000078        | 0.000021       
0.7283     | 0.000058        | 0.000079        | 0.000020       
0.7363     | 0.000060        | 0.000079        | 0.000020       
0.7443     | 0.000061        | 0.000080        | 0.000019       
0.7523     | 0.000062        | 0.000080        | 0.000018       
0.7603     | 0.000063        | 0.000081        | 0.000017       
0.7683     | 0.000065        | 0.000081        | 0.000016       
0.7763     | 0.000066        | 0.000081        | 0.000015       
0.7843     | 0.000067        | 0.000081        | 0.000014       
0.7923     | 0.000069        | 0.000081        | 0.000012       
0.8003     | 0.000070        | 0.000081        | 0.000011       
0.8083     | 0.000071        | 0.000081        | 0.000010       
0.8163     | 0.000073        | 0.000081        | 0.000008       
0.8243     | 0.000074        | 0.000081        | 0.000007       
0.8323     | 0.000076        | 0.000082        | 0.000006       
0.8403     | 0.000077        | 0.000082        | 0.000004       
0.8483     | 0.000079        | 0.000082        | 0.000003       
0.8563     | 0.000080        | 0.000082        | 0.000002       
0.8643     | 0.000082        | 0.000083        | 0.000001       
0.8723     | 0.000083        | 0.000083        | 0.000000       
0.8804     | 0.000085        | 0.000084        | 0.000001       
0.8884     | 0.000087        | 0.000084        | 0.000002       
0.8964     | 0.000088        | 0.000085        | 0.000003       
0.9044     | 0.000090        | 0.000086        | 0.000004       
0.9124     | 0.000092        | 0.000087        | 0.000005       
0.9204     | 0.000093        | 0.000088        | 0.000006       
0.9284     | 0.000095        | 0.000089        | 0.000006       
0.9364     | 0.000097        | 0.000090        | 0.000007       
0.9444     | 0.000099        | 0.000092        | 0.000007       
0.9524     | 0.000101        | 0.000093        | 0.000008       
0.9604     | 0.000103        | 0.000095        | 0.000008       
0.9684     | 0.000105        | 0.000096        | 0.000008       
0.9764     | 0.000106        | 0.000098        | 0.000008       
0.9844     | 0.000108        | 0.000100        | 0.000008       
0.9924     | 0.000110        | 0.000102        | 0.000008       
1.0004     | 0.000113        | 0.000104        | 0.000008       
1.0084     | 0.000115        | 0.000106        | 0.000008       
1.0164     | 0.000117        | 0.000108        | 0.000008       
1.0244     | 0.000119        | 0.000111        | 0.000008       
1.0324     | 0.000121        | 0.000113        | 0.000008       
1.0404     | 0.000123        | 0.000115        | 0.000008       
1.0484     | 0.000125        | 0.000118        | 0.000008       
1.0564     | 0.000128        | 0.000120        | 0.000008       
1.0644     | 0.000130        | 0.000123        | 0.000007       
1.0724     | 0.000132        | 0.000125        | 0.000007       
1.0804     | 0.000135        | 0.000128        | 0.000007       
